V1n,V2n
MDGA1,PLET1
MDGA1,NTM
FBXW11,RNF130
FBXW11,TRIM36
FBXW11,KLHL5
FBXW11,ZBTB16
FBXW11,UBA3
FBXW11,SPSB4
FBXW11,ASB7
FBXW11,HECTD2
FBXW11,FBXL18
FBXW11,TRIM71
FBXW11,KLHL2
FBXW11,ASB11
IGFBP4,CST3
IGFBP4,SERPINA1A
IGFBP4,PAPPA
IGFBP4,SCG2
IGFBP4,WFS1
IGFBP4,IGFBP3
IGFBP4,AMTN
ATF2,ATF3
MYD88,TLR6
MYD88,MAP3K7
MAP3K7,PRKAA1
MAP3K7,PDPK1
PDPK1,RPS6KA6
ATF2,MAPK14
MAP3K7,MAPK14
PRKAA1,CAMKK2
MAP3K7,IKBKB
PPARGC1A,MED20
PPARGC1A,FOXO1
FOXO1,SMAD2
PPARGC1A,RORA
PPARGC1A,PRKAG2
CXCR1,NPBWR1
CXCR1,NPBWR1
CXCR1,CNR1
CXCR1,CXCL5
CXCR1,NPY
CXCR1,TAS1R3
CXCR1,S1PR3
CXCR1,CCL28
CXCR1,GNG11
GNG11,GNA13
